title,location_id,nid,address,city,state_code,zip_code,chargers,common_name,open_soon,latitude,longitude,location_type,num_of_chargers,power,id,date_opened,state_name,population_2019,site_size
"Mitchell, SD Supercharger",mitchellsupercharger,6451,1305 W. Havens Street,Mitchell,SD,57301,"<p><strong>Charging</strong><br />6 Superchargers, available 24/7, up to 150kW</p>",County Fair Plaza,0,43.701129,-98.0445,"['supercharger', 'standard charger']",6.0,150.0,179.0,2013-12-18,South Dakota,884659.0,low
"Murdo, SD Supercharger",murdosupercharger,6460,302 W 5th St.,Murdo,SD,57559,"<p><strong>Charging</strong><br />4 Superchargers, available 24/7, up to 150kW</p>",Range Country Lodging,0,43.886915,-100.716887,"['supercharger', 'standard charger']",4.0,150.0,180.0,2013-12-31,South Dakota,884659.0,low
"Rapid City, SD Supercharger",rapidcitysupercharger,6484,2200 N. Maple Ave,Rapid City,SD,57701,"<p><strong>Charging</strong><br />4 Superchargers, available 24/7, up to 150kW</p>",Rushmore Mall,0,44.105601,-103.212569,"['supercharger', 'standard charger']",4.0,150.0,181.0,2013-11-25,South Dakota,884659.0,low
"Sioux Falls, SD Supercharger",siouxfallssupercharger,28675,1900 South Marion Rd,Sioux Falls,SD,57106-3636,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",Hy-Vee,0,43.527668,-96.790592,"['supercharger', 'standard charger']",8.0,150.0,1209.0,2017-10-30,South Dakota,884659.0,medium
"Spearfish, SD Supercharger",spearfishsupercharger,28679,3275 Old Belle Rd,Spearfish,SD,57783-6222,"<p><strong>Charging</strong><br/>6 Superchargers, available 24/7, up to 150kW</p>",Phillips 66 Exit 8,0,44.520573,-103.89107,"['supercharger', 'standard charger']",6.0,150.0,1354.0,2017-10-30,South Dakota,884659.0,low
"Wall, SD Supercharger",wallsupercharger,28715,418 Main Street,Wall,SD,57790,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",City of Wall Main Street Parking Lot,0,43.99407,-102.24216,"['supercharger', 'standard charger']",8.0,150.0,1851.0,2019-06-05,South Dakota,884659.0,medium
"Oacoma, SD Supercharger",oacomacsupercharger,34192,1000 E Dakota Highway 16,Chamberlain,SD,57365-0000,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",,0,43.803197,-99.383371,"['supercharger', 'standard charger']",8.0,150.0,1296.0,2017-10-16,South Dakota,884659.0,medium
"Custer, SD Supercharger",custersupercharger,34245,800 Mount Rushmore Road,Custer,SD,57730-2033,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",Lynn's Dakotamart,0,43.767154,-103.59432,"['supercharger', 'standard charger']",8.0,150.0,1482.0,2018-05-11,South Dakota,884659.0,medium
"Watertown, SD",WatertownSDsupercharger,52672,,Watertown,SD,,<p><strong>Target opening in Q2 2021</strong></p><p>Timing and location subject to change<br/>New locations added and timing updated quarterly</p>,,1,44.899323,-97.115024,"['supercharger', 'standard charger']",,,,,South Dakota,884659.0,
"Kearny, NJ Supercharger",kearnysupercharger,6464,200 Harrison Avenue,Kearny,NJ,7032,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",Wawa,0,40.749014,-74.135578,"['supercharger', 'standard charger']",8.0,150.0,1738.0,2019-02-16,New Jersey,8882190.0,medium
"Woodbridge Township, NJ Supercharger",woodbridgesupercharger,6551,440 King Georges Road,Woodbridge,NJ,08857-0000,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",Wawa,0,40.535859,-74.297322,"['supercharger', 'standard charger']",8.0,150.0,1360.0,2018-03-12,New Jersey,8882190.0,medium
"Edison, NJ Supercharger",edisonsupercharger,6703,55 Parsonage Rd.,Edison,NJ,8837,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",Menlo Park Mall,0,40.544595,-74.334113,"['supercharger', 'standard charger']",8.0,150.0,158.0,2014-08-22,New Jersey,8882190.0,medium
Paramus-Route 17,paramusroute17,6908,530 Route 17 N,Paramus,NJ,07652,"<p><strong>Charging</strong><br />8 Superchargers, available 24/7, up to 150kW</p>",,0,40.957479,-74.074191,"['store', 'service', 'supercharger', 'standard charger', 'delivery']",8.0,150.0,398.0,2014-11-26,New Jersey,8882190.0,medium
East Brunswick Supercharger,eastbrunswicksupercharger,9760,Mile Marker 78 New Jersey Turnpike North,East Brunswick,NJ,8816,"<p><strong>Charging</strong><br />4 superchargers, available 24/7, up to 150kW</p>",Joyce Kilmer Service Area,0,40.415938,-74.444713,"['supercharger', 'standard charger']",4.0,150.0,,,New Jersey,8882190.0,low
Cranbury Supercharger,cranburysupercharger,10126,Mile Marker 71.7 New Jersey Turnpike,Cranbury,NJ,8512,"<p><strong>Charging</strong><br />4 superchargers, available 24/7, up to 150kW</p>",Molly Pitcher Service Area,0,40.32244,-74.4869,"['supercharger', 'standard charger']",4.0,150.0,,,New Jersey,8882190.0,low
Tinton Falls Supercharger,tintonfallssupercharger,11830,1 Premium Outlets Blvd,Tinton Falls,NJ,7753,"<p><strong>Charging</strong><br />8 superchargers, available 24/7, up to 150kW</p>",Jersey Shore Premium Outlets,0,40.226408,-74.093572,"['supercharger', 'standard charger']",8.0,150.0,666.0,2015-09-19,New Jersey,8882190.0,medium
Egg Harbor Township Supercharger,eggharbortownsupercharger,18603,3121 Fire Road,Egg Harbor Township,NJ,8234,"<p><strong>Charging</strong><br/>8 superchargers, available 24/7, up to 150kW</p>",JR's Fresh Market,0,39.393663,-74.562619,"['supercharger', 'standard charger']",8.0,150.0,858.0,2016-06-23,New Jersey,8882190.0,medium
"Parsippany, NJ Supercharger",parsippanysupercharger,28610,350 New Road,Parsippany,NJ,7054,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",,0,40.849718,-74.351359,"['supercharger', 'standard charger']",8.0,150.0,1574.0,2019-03-06,New Jersey,8882190.0,medium
Hamilton Township Supercharger,hamiltontownshipnjsupercharger,29002,425 Market Place Blvd,Hamilton,NJ,8691,"<p><strong>Charging</strong><br />6 superchargers, available 24/7, up to 150kW</p>",Hamilton Marketplace,0,40.195539,-74.641375,"['supercharger', 'standard charger']",6.0,150.0,159.0,2014-04-22,New Jersey,8882190.0,low
"Barnegat, NJ Supercharger",barnegattownshipnjsupercharger,34097,945 West Bay Avenue,Barnegat,NJ,8005,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",Wawa,0,39.759444,-74.253456,"['supercharger', 'standard charger']",8.0,150.0,1908.0,2019-05-23,New Jersey,8882190.0,medium
"Basking Ridge, NJ Supercharger",baskingridgesupercharger,34149,415 King George Road,Basking Ridge,NJ,7920,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",Dewey Meadow Shopping Center,0,40.655365,-74.52935,"['supercharger', 'standard charger']",8.0,150.0,1665.0,2019-07-14,New Jersey,8882190.0,medium
"Cape May Court House, NJ Supercharger",capemaynjsupercharger,34182,11 Court House South Dennis Road,Cape May,NJ,8210,"<p><strong>Charging</strong><br/>12 Superchargers, available 24/7, up to 150kW</p>",Plaza at Cape May Courthouse,0,39.088405,-74.821792,"['supercharger', 'standard charger']",12.0,150.0,1925.0,2019-07-26,New Jersey,8882190.0,medium
"Cherry Hill, NJ",CherryHillNJsupercharger,34206,,Cherry Hill,NJ,,<p><strong>Target opening in Q1 2021</strong></p><p>Timing and location subject to change<br/>New locations added and timing updated quarterly</p>,,1,39.926982,-75.025497,"['supercharger', 'standard charger']",,,,,New Jersey,8882190.0,
"Robbinsville, NJ Supercharger",robbinsvillesupercharger,34388,315 Robbinsville-Allentown Road,Robbinsville,NJ,8691,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",QuickChek,0,40.193806,-74.594546,"['supercharger', 'standard charger']",8.0,150.0,1965.0,2019-07-13,New Jersey,8882190.0,medium
"Jersey City, NJ – 1st Street Supercharger",jerseycitynjsupercharger,34462,160 First Street,Jersey City,NJ,07302,"<p><strong>Charging</strong><br/>6 Superchargers, available 24/7, up to 72kW</p>",The Oakman,0,40.721595,-74.040469,"['supercharger', 'standard charger']",6.0,72.0,1513.0,2018-02-15,New Jersey,8882190.0,low
"North Brunswick, NJ Supercharger",northbrunswicksupercharger,34616,191 Grand Avenue,North Brunswick,NJ,8902,"<p><strong>Charging</strong><br/>10 Superchargers, available 24/7, up to 150kW</p>",MainStreetNB,0,40.439674,-74.504514,"['supercharger', 'standard charger']",10.0,150.0,1527.0,2018-07-20,New Jersey,8882190.0,medium
"Springfield, NJ - Cleveland Place Supercharger",springfieldnjclevelandplacesupercharger,34715,2017 Cleveland Place,Springfield,NJ,07081,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 250kW</p>",Wawa,0,40.717735,-74.329331,"['supercharger', 'standard charger']",8.0,250.0,2236.0,2020-07-30,New Jersey,8882190.0,medium
"South Toms River, NJ Supercharger",tomsrivernjsupercharger,34738,,Tom's River,NJ,08757,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",Wawa,0,39.9418,-74.21245,"['supercharger', 'standard charger']",8.0,150.0,1993.0,2019-10-18,New Jersey,8882190.0,medium
"Jersey City, NJ - Mall Drive West Supercharger",jerseycitymalldrsupercharger,40987,30 Mall Drive West,Jersey City,NJ,07310-1615,"<p><strong>Charging</strong><br/>20 Superchargers, available 24/7, up to 72kW</p>",Newport Centre,0,40.727344,-74.039834,"['supercharger', 'standard charger']",20.0,72.0,1391.0,2018-02-23,New Jersey,8882190.0,high
"Deptford, NJ Supercharger",deptfordnjsupercharger,43544,1750 Deptford Center Road,Deptford,NJ,08096,"<p><strong>Charging</strong><br/>12 Superchargers, available 24/7, up to 150kW</p>",Deptford Mall,0,39.833479,-75.097916,"['supercharger', 'standard charger']",12.0,150.0,1569.0,2020-07-29,New Jersey,8882190.0,medium
"Mahwah, NJ",MahwahNJsupercharger,43623,,Mahwah,NJ,,<p><strong>Target opening in 2022</strong></p><p>Timing and location subject to change<br/>New locations added and timing updated quarterly</p>,,1,41.088863,-74.143201,"['supercharger', 'standard charger']",,,,,New Jersey,8882190.0,
